,term,score
0,cather,0.5675381126899117
1,garden,0.2394835692734413
2,fairy,0.20027410399904147
3,pathos,0.19131431368523105
4,simple,0.18375134620077765
5,promise,0.15372774592237162
6,toadyism,0.14188452817247793
7,collection,0.13932767160250814
8,troll,0.133744292152168
9,envelop,0.133744292152168
10,obliterate,0.12796870278149222
11,eschew,0.12796870278149222
12,senseless,0.12796870278149222
13,fulfillment,0.1167336926575857
14,shallow,0.10957298223360125
15,funeral,0.10591264137019651
16,forge,0.10591264137019651
17,ridicule,0.10430568057594379
18,real,0.10242637384568647
19,lodge,0.10143274621329129
